id_local,Nombre,desc_situacion_terraza,desc_ubicacion_terraza,id_distrito_local,desc_distrito_local,desc_barrio_local
270511620,LA DOMA,Abierta,Acera,4,SALAMANCA,CASTELLANA
40000855,BAR RESTAURANTE TENDIDO 7,Cerrada,Acera,4,SALAMANCA,GUINDALERA
270531592,TOMMY MEL'S,Abierta,Acera,1,CENTRO,SOL
285001306,BAR GASTRONOMICO KORGUI,Abierta,Calle peatonal,1,CENTRO,PALACIO
280011958,PIZZA MALATESTA,Abierta,Calle peatonal,1,CENTRO,SOL
10002975,RESTAURANTE PADRON,Abierta,Acera,1,CENTRO,UNIVERSIDAD
270052747,RESTAURANTE RODRIGUEZ,Abierta,Calle peatonal,1,CENTRO,SOL
270420246,RINC?N DE LA CAVA,Abierta,Acera,1,CENTRO,SOL
280011940,DON CALAMAR,Abierta,Plaza peatonal,1,CENTRO,SOL
270202932,BAR TINEO,Abierta,Plaza peatonal,1,CENTRO,SOL
270079591,CAFETERIA J.M.,Abierta,Acera,4,SALAMANCA,LISTA
40001198,DUENDE,Abierta,Acera,4,SALAMANCA,LISTA
170001383,BAR MONSERRAT,Abierta,Calle peatonal,17,VILLAVERDE,LOS ANGELES
270278858,BAR CAFETERIA ELISABETH,Cerrada,Acera,4,SALAMANCA,GUINDALERA
270075999,LA TIENTA,Abierta,Acera,4,SALAMANCA,FUENTE DEL BERRO
270266429,EL RINCON DE JAEN II,Cerrada,Acera,4,SALAMANCA,GUINDALERA
270493514,EL BARRILITO,Abierta,Acera,5,CHAMARTIN,NUEVA ESPA?A
280022758,CRICKET CAFE BAR,Abierta,Acera,5,CHAMARTIN,NUEVA ESPA?A
270080736,CAFETERIA VALOR,Abierta,Acera,4,SALAMANCA,LISTA
270140469,LA BRASA,Abierta,Calle peatonal,10,LATINA,PUERTA DEL ANGEL
270307127,CHURRERIA LA NUEVA,Abierta,Superficie en parcela privada,18,VILLA DE VALLECAS,SANTA EUGENIA
270271336,RESTAURANTE THONG,Abierta,Acera,4,SALAMANCA,CASTELLANA
270083495,TANTEO,Abierta,Acera,4,SALAMANCA,CASTELLANA
280011503,LA RIA,Abierta,Calle peatonal,1,CENTRO,SOL
280022951,BAR CAFETERIA ENRO,Abierta,Acera,5,CHAMARTIN,CASTILLA
280072416,LA TAPILLA SIXTINA,Abierta,Acera,15,CIUDAD LINEAL,QUINTANA
270173811,BAR,Abierta,Plaza peatonal,15,CIUDAD LINEAL,CONCEPCION
285013038,GASTROBAR  TUTIPLEN,Abierta,Acera,21,BARAJAS,CORRALEJOS
285014634,NIKO'S BAR,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL PILAR
280059432,CAFETERIA BLANCO Y NEGRO CERVECERIA,Abierta,Acera,13,PUENTE DE VALLECAS,PALOMERAS SURESTE
270183264,GRAYMAR,Abierta,Acera,17,VILLAVERDE,LOS ANGELES
270540810,BAR-RESTAURANTE LA GLORIA,Abierta,Acera,8,FUENCARRAL-EL PARDO,EL GOLOSO
40002569,CERVECERIA LA CONSERVA,Abierta,Acera,4,SALAMANCA,FUENTE DEL BERRO
270058236,BAR SANTAMARIA,Abierta,Acera,2,ARGANZUELA,PALOS DE MOGUER
